Lemma,CEFR,POS,Frq abs,Frq ipm
секунда,A1,n,18289,115.46
праздник,A1,n,18246,115.19
есть,A1,v,18173,114.73
ухо,A1,n,18041,113.90
занятие,A1,n,17983,113.53
октябрь,A1,n prop,17841,112.63
нос,A1,n,17808,112.42
начинаться,A1,v,17752,112.07
значить,A1,v,17737,111.98
французский,A1,adj,17658,111.48
правильно,A1,adv,17643,111.38
сентябрь,A1,n prop,17640,111.36
левый,A1,adj,17576,110.96
университет,A1,n,17568,110.91
лето,A1,n,17442,110.11
одежда,A1,n,17319,109.34
автомобиль,A1,n,17214,108.67
декабрь,A1,n prop,17138,108.19
сестра,A1,n,17025,107.48
запад,A1,n prop,16960,107.07
франция,A1,n prop,16942,106.96
июнь,A1,n prop,16874,106.53
темный,A1,adj,16819,106.18
немец,A1,n,16709,105.49
америка,A1,n prop,16645,105.08
холодный,A1,adj,16642,105.06
февраль,A1,n prop,16627,104.97
рождение,A1,n,16503,104.19
площадь,A1,n,16419,103.66
станция,A1,n,16370,103.35
европейский,A1,adj,16240,102.53
июль,A1,n prop,16203,102.29
позвонить,A1,v,16152,101.97
зеленый,A1,adj,15940,100.63
сто,A1,num,15871,100.20
петь,A1,v,15725,99.27
дата,A1,n,15717,99.22
семь,A1,num,15671,98.93
фотография,A1,n,15654,98.83
ноябрь,A1,n prop,15497,97.83
понравиться,A1,v,15482,97.74
чай,A1,n,15472,97.68
перевод,A1,n,15444,97.50
тихо,A1,adv,15422,97.36
взрослый,A1,n,15360,96.97
родиться,A1,v,15356,96.94
снег,A1,n,15181,95.84
зуб,A1,n,15005,94.73
иностранный,A1,adj,14911,94.14
сосед,A1,n,14813,93.52
украина,A1,n prop,14759,93.18
прочитать,A1,v,14717,92.91
понятный,A1,adj,14690,92.74
падать,A1,v,14622,92.31
кухня,A1,n,14619,92.29
покупать,A1,v,14549,91.85
прошлое,A1,n,14499,91.53
пиво,A1,n,14421,91.04
богатый,A1,adj,14378,90.77
согласный,A1,adj,14296,90.25
библиотека,A1,n,14281,90.16
здоровый,A1,adj,13970,88.19
умный,A1,adj,13941,88.01
открывать,A1,v,13831,87.32
ученик,A1,n,13806,87.16
бутылка,A1,n,13760,86.87
уехать,A1,v,13741,86.75
рисунок,A1,N,13714,86.58
дождь,A1,n,13658,86.22
восток,A1,n prop,13617,85.97
трудный,A1,adj,13594,85.82
хлеб,A1,n,13567,85.65
бабушка,A1,n,13566,85.64
снимать,A1,v,13518,85.34
опасный,A1,adj,13473,85.06
кожа,A1,n,13414,84.68
учить,A1,v,13361,84.35
зима,A1,n,13263,83.73
экран,A1,n,13257,83.69
здравствовать,A1,v,13189,83.26
переход,A1,n,13165,83.11
кровать,A1,n,13131,82.90
урок,A1,n,13125,82.86
родина,A1,n,13106,82.74
вино,A1,n,13105,82.73
бедный,A1,adj,13060,82.45
этаж,A1,N,12960,81.82
объяснять,A1,v,12781,80.69
выбирать,A1,v,12768,80.61
горячий,A1,adj,12648,79.85
подруга,A1,N,12552,79.24
весна,A1,n,12462,78.67
тридцать,A1,num,12443,78.55
рыба,A1,n,12422,78.42
ключ,A1,n,12283,77.54
теплый,A1,adj,12276,77.50
фамилия,A1,n,12274,77.49
включать,A1,v,12273,77.48
захотеть,A1,v,12273,77.48
кресло,A1,n,12166,76.81
восемь,A1,num,12103,76.41
серый,A1,adj,12093,76.34
кино,A1,n,12039,76.00
подарок,A1,n,11932,75.33
забывать,A1,v,11919,75.25
прекрасно,A1,adv,11917,75.23
столица,A1,n,11819,74.61
больница,A1,n,11796,74.47
понятно,A1,adv,11745,74.15
еще раз,A1,mwe,11744,74.14
буква,A1,n,11737,74.10
автобус,A1,n,11636,73.46
приносить,A1,v,11547,72.90
тяжело,A1,adv,11465,72.38
готовить,A1,v,11463,72.37
обед,A1,n,11436,72.20
переходить,A1,v,11435,72.19
вход,A1,n,11413,72.05
сорок,A1,num,11384,71.87
водка,A1,n,11319,71.46
телевизор,A1,n,11312,71.41
мягкий,A1,adj,11210,70.77
мужской,A1,adj,11067,69.87
задание,A1,n,11011,69.51
билет,A1,n,10989,69.38
повторять,A1,v,10958,69.18
дядя,A1,n,10888,68.74
китай,A1,n prop,10855,68.53
стул,A1,n,10810,68.24
светлый,A1,adj,10797,68.16
кофе,A1,n,10640,67.17
американец,A1,n,10597,66.90
книжка,A1,n,10553,66.62
чтение,A1,n,10513,66.37
еда,A1,n,10282,64.91
милиция,A1,n,10280,64.90
громко,A1,adv,10228,64.57
водитель,A1,n,10182,64.28
субъект,A1,N,10138,64.00
осень,A1,n,10103,63.78
привет,A1,excl,10005,63.16
синий,A1,adj,9842,62.13
кошка,A1,n,9672,61.06
важно,A1,adv,9639,60.85
круглый,A1,adj,9493,59.93
тепло,A1,adv,9398,59.33
север,A1,n,9388,59.27
умирать,A1,v,9325,58.87
покупка,A1,n,9317,58.82
погода,A1,n,9292,58.66
китайский,A1,adj,9286,58.62
голубой,A1,adj,9275,58.55
шутка,A1,n,9238,58.32
регистрация,A1,n,9226,58.24
перевести,A1,v,9187,58.00
музыкальный,A1,adj,9158,57.82
мясо,A1,n,9132,57.65
болеть,A1,v,9083,57.34
задавать,A1,v,9044,57.10
осторожно,A1,adv,9041,57.08
бок,A1,n,9022,56.96
платье,A1,n,8864,55.96
часы,A1,n,8814,55.64
масло,A1,n,8797,55.54
полиция,A1,n,8791,55.50
юг,A1,n,8777,55.41
молоко,A1,n,8764,55.33
стакан,A1,n,8736,55.15
спорт,A1,n,8714,55.01
нож,A1,n,8613,54.38
суббота,A1,n prop,8560,54.04
пятьдесят,A1,num,8528,53.84
сантиметр,A1,n,8516,53.76
живот,A1,n,8498,53.65
желтый,A1,adj,8488,53.59
сложно,A1,adv,8487,53.58
почта,A1,n,8413,53.11
заплатить,A1,v,8319,52.52
воскресенье,A1,n prop,8271,52.22
пятница,A1,n prop,8228,51.94
продавец,A1,n,8223,51.91
преподаватель,A1,n,8196,51.74
доска,A1,n,8159,51.51
японский,A1,adj,8158,51.50
ручка,A1,n,8124,51.29
верно,A1,adv,8085,51.04
понедельник,A1,n prop,8067,50.93
гулять,A1,v,8019,50.63
девять,A1,num,7957,50.23
транспорт,A1,n,7937,50.11
актер,A1,n,7932,50.08
килограмм,A1,n,7885,49.78
экзамен,A1,n,7885,49.78
приятно,A1,adv,7870,49.68
сумка,A1,n,7835,49.46
сигарета,A1,n,7800,49.24
бегать,A1,v,7642,48.24
